Source,Target,Weight,Type
221Addie_GranddadandPops,221Addie_TheSlap,6,undirected
221Addie_GranddadandPops,AMAZINGmadness_ItMayBeRage,1,undirected
221Addie_GranddadandPops,Lizard501_TheForger,3,undirected
221Addie_TheSlap,221Addie_GranddadandPops,6,undirected
221Addie_TheSlap,AmbiguousMorals_TwoYearsLater,3,undirected
221Addie_TheSlap,Lizard501_TheCollegeDays,3,undirected
AMAZINGmadness_Alike,AmbiguousMorals_CapturedInaPrecariousSituation,4,undirected
AMAZINGmadness_Alike,AmbiguousMorals_TwoYearsLater,5,undirected
AMAZINGmadness_Alike,okapi_Cheers,2,undirected
AMAZINGmadness_ItMayBeRage,221Addie_GranddadandPops,1,undirected
AMAZINGmadness_ItMayBeRage,Lizard501_TheCollegeDays,2,undirected
AMAZINGmadness_ItMayBeRage,Lizard501_TheForger,5,undirected
AMAZINGmadness_ItMayBeRage,okapi_FromthePenofInkyQuill,2,undirected
AmbiguousMorals_CapturedInaPrecariousSituation,AMAZINGmadness_Alike,4,undirected
AmbiguousMorals_CapturedInaPrecariousSituation,AmbiguousMorals_TwoYearsLater,6,undirected
AmbiguousMorals_CapturedInaPrecariousSituation,okapi_Cheers,1,undirected
AmbiguousMorals_TwoYearsLater,221Addie_TheSlap,3,undirected
AmbiguousMorals_TwoYearsLater,AMAZINGmadness_Alike,5,undirected
AmbiguousMorals_TwoYearsLater,AmbiguousMorals_CapturedInaPrecariousSituation,6,undirected
EventHorizon_InFineSpirits,EventHorizon_NotQuiteaCountryHoliday,6,undirected
EventHorizon_InFineSpirits,okapi_Bees&OtherStories,2,undirected
EventHorizon_InFineSpirits,okapi_FromthePenofInkyQuill,1,undirected
EventHorizon_NotQuiteaCountryHoliday,EventHorizon_InFineSpirits,6,undirected
EventHorizon_NotQuiteaCountryHoliday,okapi_Bees&OtherStories,3,undirected
EventHorizon_NotQuiteaCountryHoliday,okapi_FromthePenofInkyQuill,2,undirected
Lizard501_TheCollegeDays,221Addie_TheSlap,3,undirected
Lizard501_TheCollegeDays,AMAZINGmadness_ItMayBeRage,2,undirected
Lizard501_TheCollegeDays,Lizard501_TheForger,6,undirected
Lizard501_TheForger,221Addie_GranddadandPops,3,undirected
Lizard501_TheForger,AMAZINGmadness_ItMayBeRage,5,undirected
Lizard501_TheForger,Lizard501_TheCollegeDays,6,undirected
okapi_Bees&OtherStories,EventHorizon_InFineSpirits,2,undirected
okapi_Bees&OtherStories,EventHorizon_NotQuiteaCountryHoliday,3,undirected
okapi_Bees&OtherStories,okapi_Cheers,5,undirected
okapi_Bees&OtherStories,okapi_FromthePenofInkyQuill,6,undirected
okapi_Cheers,AMAZINGmadness_Alike,2,undirected
okapi_Cheers,AmbiguousMorals_CapturedInaPrecariousSituation,1,undirected
okapi_Cheers,okapi_Bees&OtherStories,5,undirected
okapi_Cheers,okapi_FromthePenofInkyQuill,4,undirected
okapi_FromthePenofInkyQuill,AMAZINGmadness_ItMayBeRage,2,undirected
okapi_FromthePenofInkyQuill,EventHorizon_InFineSpirits,1,undirected
okapi_FromthePenofInkyQuill,EventHorizon_NotQuiteaCountryHoliday,2,undirected
okapi_FromthePenofInkyQuill,okapi_Bees&OtherStories,6,undirected
okapi_FromthePenofInkyQuill,okapi_Cheers,4,undirected
