"221Addie_GranddadandPops" "221Addie_TheSlap" "AMAZINGmadness_Alike" "AMAZINGmadness_ItMayBeRage" "AmbiguousMorals_CapturedInaPrecariousSituation" "AmbiguousMorals_TwoYearsLater" "EventHorizon_InFineSpirits" "EventHorizon_NotQuiteaCountryHoliday" "Lizard501_TheCollegeDays" "Lizard501_TheForger" "okapi_Bees&OtherStories" "okapi_Cheers" "okapi_FromthePenofInkyQuill"
"the" 4.39944874377187 3.13076813857731 4.35598445248626 0 3.05070993914807 3.45787711178839 3.28808290918733 3.4627761702588 4.73729054245953 6.00966183574879 5.02133245815556 4.28935467159519 4.96871389016068
"and" 2.43824870136754 2.17946897628851 2.47658192973834 0 3.11561866125761 3.28855777552019 2.62221665696839 3.01590091673653 1.74950298210736 1.46859903381643 2.78841361873853 2.98301619971717 3.12643076721826
"to" 2.71387681543517 3.15916512849638 3.6173286273809 0 3.09127789046653 3.01764683749106 2.82035606166629 2.95708375023662 3.16955410394774 3.14975845410628 2.13446134023751 1.86149731871578 2.03414219373406
"a" 2.06721085550726 1.88130058213829 2.15639845716243 0.120468732887964 2.39350912778905 2.15599954848177 2.69955731679471 2.61296952324292 1.88014768531667 1.8743961352657 2.69481821828392 2.33124711219389 2.8015784769006
"i" 1.80218382274992 2.39244640068153 0.586754828813534 0 1.62271805273834 0.88046054859465 2.18100660710208 1.88079720922686 1.23828457824482 0.85024154589372 3.43385722447094 1.91610310692933 2.91931017943184
"of" 1.62196544047493 1.32046003123669 1.68878166465621 0 1.82555780933063 1.64804153967716 1.85691241354419 1.8057546174856 1.71542175518319 2.18357487922705 2.39093704797676 1.70468069615379 2.50724922057252
"his" 1.09191137496025 1.82450660230016 3.60392559829633 0 3.5131845841785 2.86714076080822 1.17189514079683 1.36428783904378 2.47088895200227 2.29951690821256 1.01010101010101 1.66407639209756 0.941853620249853
"he" 1.12371461889113 1.91679681953713 3.1109919730748 0 1.9553752535497 3.00259622982278 1.33983485927683 1.29330160361286 1.7722238000568 2.29951690821256 1.18270551483548 1.59196874868736 1.06612597292171
"you" 1.80218382274992 2.47053812295897 0.719295894205424 0 1.37119675456389 0.978289498438499 1.85985872439472 1.46907704372752 1.1814825333712 1.17874396135266 1.41487072895015 1.95110681732264 1.04650402249984
"s" 1.28273083854553 1.45534573335226 0.826520126882009 0.679005585368525 1.24137931034483 0.81649546600444 1.32952277129999 1.38659779875064 1.56205623402442 1.33333333333333 0.937169529227291 1.94830652049117 1.18603789216648
"that" 1.29333191985583 1.4695442283118 1.39987192661097 0 1.1683569979716 1.13632087895549 1.69486531676525 1.68338786879039 1.00539619426299 1.35265700483092 1.08667906501842 0.840789123647107 1.0181612052238
